PO Number;PO Line;Cycle;Year;Zone;Region;Area;Wcode;Sales Point;Item Name;Catergory;Item Code;Brand;Brand SKU;Brand Name PO;Length;Width;Quantity;Order Date;Production Start Date;Production Finish Date;Shipment Date;Est. Received Date;Received Date Based on CPT;DN Number;Entity
5701713463;1;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 0.7x2 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0002;Dji Sam Soe Magnum Filter;;DSE12 25K;;;80;;;;;;;;PT HM Sampoerna Tbk
5701713463;2;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 0.7x3 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0003;Dji Sam Soe Magnum Filter;;DSE12 25K;;;600;;;;;;;;PT HM Sampoerna Tbk
5701713463;3;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 0.7x4 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0004;Dji Sam Soe Magnum Filter;;DSE12 25K;;;280;;;;;;;;PT HM Sampoerna Tbk
5701713463;4;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 1x2 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0005;Dji Sam Soe Magnum Filter;;DSE12 25K;;;40;;;;;;;;PT HM Sampoerna Tbk
5701713463;5;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 1x3 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0006;Dji Sam Soe Magnum Filter;;DSE12 25K;;;280;;;;;;;;PT HM Sampoerna Tbk
5701713463;6;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sunscreen Without Velcro - 1x4 m - Vinyl FF Frontlight 10 Oz - DSE12 25K;;2026-00195039-0007;Dji Sam Soe Magnum Filter;;DSE12 25K;;;100;;;;;;;;PT HM Sampoerna Tbk
5701713463;7;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;TPOSM - Sticker - 40x40 cm - Sticker Chromo - DSE12 25K;;2026-00195039-0008;Dji Sam Soe Magnum Filter;;DSE12 25K;;;3400;;;;;;;;PT HM Sampoerna Tbk
5701713463;8;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;GT SRC - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - DSE12 25K;;2026-00195039-0009;Dji Sam Soe Magnum Filter;;DSE12 25K;;;32;;;;;;;;PT HM Sampoerna Tbk
5701713463;12;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;GT Stand Alone - Tin Plate (H) - 100x200 cm - Sticker Blockout - DSE12 25K;;2026-00195039-0014;Dji Sam Soe Magnum Filter;;DSE12 25K;;;145;;;;;;;;PT HM Sampoerna Tbk
5701713463;13;C1;2026;North Sumatera;Sumatera 1;Medan 1;WH020;Medan 1;GT Stand Alone - TTD Big (H) - 25.5x72.5 cm - Art Carton - DSE12 25K;;2026-00195039-0015;Dji Sam Soe Magnum Filter;;DSE12 25K;;;52;;;;;;;;PT HM Sampoerna Tbk
