PO Number;PO Line;Cycle;Year;Zone;Region;Area;Wcode;Sales Point;Item Name;Catergory;Item Code;Brand;Brand SKU;Brand Name PO;Length;Width;Quantity;Order Date;Production Start Date;Production Finish Date;Shipment Date;Est. Received Date;Received Date Based on CPT;DN Number;Entity;;Track;QTY Received ;QTY Received  Final;Received Date;Remark;QTY Out;Qty Produce;Qty in Transit;Qty Delivered;Received Date
5701711304;1;C1;2026;Jakarta;Jakarta Inner;Jakarta Barat;WH055;Jakarta Barat;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;1;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH071;Jakarta Selatan;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;1;C1;2026;Jakarta;Jakarta Inner;Jakarta Timur;WH064;Jakarta Timur;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;1;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH299;Pondok Pinang Jaksel;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;2;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH071;Jakarta Selatan;GT SRC - Snap Frame (H) - 40x80 cm - Photopaper - MLA16 35K;;2026-00195038-0016;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;2;C1;2026;Jakarta;Jakarta Inner;Jakarta Timur;WH064;Jakarta Timur;GT SRC - Snap Frame (H) - 40x80 cm - Photopaper - MLA16 35K;;2026-00195038-0016;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;2;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH299;Pondok Pinang Jaksel;GT SRC - Snap Frame (H) - 40x80 cm - Photopaper - MLA16 35K;;2026-00195038-0016;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;3;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH071;Jakarta Selatan;GT Stand Alone - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;;2026-00195038-0022;A Mild all variant;;MLA16 35K;;;18;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;3;C1;2026;Jakarta;Jakarta Inner;Jakarta Timur;WH064;Jakarta Timur;GT Stand Alone - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;;2026-00195038-0022;A Mild all variant;;MLA16 35K;;;4;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701711304;3;C1;2026;Jakarta;Jakarta Inner;Jakarta Selatan;WH299;Pondok Pinang Jaksel;GT Stand Alone - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;;2026-00195038-0022;A Mild all variant;;MLA16 35K;;;18;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
